Date,SentimentSum,Open,High,Low,Close,Volume,OpenInt
2015-04-27,357,125.74,126.53,124.63,126.06,102018381,0
2015-04-28,640,127.78,127.86,123.14,124.06,125135690,0
2015-04-29,646,123.72,125.06,121.94,122.24,66696822,0
2015-04-30,667,121.17,121.54,118.38,118.94,87540921,0
2015-05-01,636,119.84,123.69,119.08,122.54,61568872,0
2015-05-04,552,123.07,124.07,121.9,122.3,53651452,0
2015-05-05,680,121.79,122.07,119.55,119.57,51844979,0
2015-05-06,599,120.28,120.45,117.25,118.8,75857987,0
2015-05-07,534,119.07,120.33,118.35,119.55,45652779,0
2015-05-08,616,120.89,121.79,120.35,121.79,58208702,0
2015-05-11,540,121.58,121.74,119.89,120.54,44047350,0
2015-05-12,600,119.86,121.08,119.12,120.12,50464764,0
2015-05-13,647,120.39,121.39,120.13,120.26,36354556,0
2015-05-14,601,121.6,123.07,121.36,123.07,47366643,0
2015-05-15,550,123.18,123.6,122.35,122.89,40021590,0
2015-05-18,573,122.51,124.75,122.49,124.23,53256393,0
2015-05-19,637,124.72,124.9,123.74,124.11,46769197,0
2015-05-20,547,124.04,125.0,123.45,124.1,38199509,0
2015-05-21,475,124.11,125.61,123.89,125.41,41631624,0
2015-05-22,544,125.6,126.9,125.42,126.49,47777927,0
2015-05-26,478,126.54,126.84,123.23,123.72,74044081,0
2015-05-27,582,124.37,126.22,124.09,126.01,48026583,0
2015-05-28,731,125.83,125.92,125.12,125.75,32191239,0
2015-05-29,493,125.25,125.47,123.95,124.31,53319512,0
2015-06-01,677,125.22,125.41,124.09,124.57,33649578,0
2015-06-02,693,123.92,124.68,123.43,124.0,35247319,0
2015-06-03,707,124.69,124.96,123.95,124.16,32466240,0
2015-06-04,623,123.68,124.61,123.03,123.47,40290158,0
2015-06-05,567,123.63,123.79,122.49,122.77,37331747,0
2015-06-08,2524,123.02,123.32,121.03,121.97,55195489,0
2015-06-09,1111,120.91,122.22,119.88,121.61,58732198,0
2015-06-10,792,122.09,123.45,122.0,123.0,40948345,0
2015-06-11,653,123.29,124.22,122.6,122.71,37084550,0
2015-06-12,1016,122.32,122.46,121.31,121.37,38579953,0
2015-06-15,480,120.34,121.43,119.97,121.12,46094023,0
2015-06-16,599,121.22,122.0,120.59,121.78,33001274,0
2015-06-17,541,121.89,122.03,120.95,121.49,34493316,0
2015-06-18,621,121.43,122.44,121.42,122.03,37101639,0
2015-06-19,665,121.92,121.98,120.62,120.81,57335314,0
2015-06-22,1017,121.68,122.2,121.28,121.78,35668278,0
2015-06-23,673,121.67,121.78,121.08,121.23,31717403,0
2015-06-24,748,121.41,123.87,121.32,122.25,57926303,0
2015-06-25,665,122.98,123.31,121.69,121.69,33466523,0
2015-06-26,674,121.84,122.14,120.73,120.96,46175652,0
2015-06-29,570,119.73,120.69,118.79,118.84,51514057,0
2015-06-30,2002,119.83,120.36,119.16,119.7,46494077,0
2015-07-01,1665,121.1,121.14,120.24,120.81,31685901,0
2015-07-02,1204,120.65,120.9,120.03,120.66,28513099,0
2015-07-06,727,119.23,120.46,119.15,120.25,29403250,0
2015-07-07,803,120.15,120.39,118.11,119.95,49193474,0
2015-07-08,859,118.79,118.95,116.94,116.97,63669393,0
2015-07-09,524,118.19,118.38,113.77,114.59,82356224,0
2015-07-10,265,116.37,118.19,115.67,117.65,64290561,0
2015-07-13,706,119.32,120.01,118.63,119.92,43423667,0
2015-07-14,704,120.29,120.59,119.33,119.87,33279159,0
2015-07-15,758,119.98,121.35,119.84,121.02,35239317,0
2015-07-16,755,121.94,122.69,121.54,122.63,37955852,0
2015-07-17,736,123.19,123.72,122.44,123.72,48373947,0
2015-07-20,626,124.99,126.9,124.73,126.03,61718915,0
2015-07-21,923,126.78,126.85,124.35,124.78,80429635,0
2015-07-22,657,116.42,119.77,116.42,119.51,120975577,0
2015-07-23,514,120.43,121.29,119.35,119.45,53440014,0
2015-07-24,663,119.61,120.0,118.23,118.81,44180009,0
2015-07-27,758,117.48,117.97,116.55,117.17,46582952,0
2015-07-28,709,117.75,118.24,116.95,117.75,35226815,0
2015-07-29,637,117.54,117.87,116.68,117.39,38782874,0
2015-07-30,657,116.73,116.97,116.14,116.78,35237502,0
2015-07-31,724,117.0,117.04,115.4,115.76,44937189,0
2015-08-03,551,115.95,116.97,112.15,113.02,73291498,0
2015-08-04,622,112.06,112.33,108.07,109.41,130079349,0
2015-08-05,617,107.8,112.08,106.98,110.13,104065281,0
2015-08-06,635,111.17,111.68,109.4,110.37,55158515,0
2015-08-07,731,109.84,111.44,109.76,110.74,40338410,0
2015-08-10,667,111.71,115.04,111.71,114.78,57321780,0
2015-08-11,594,112.93,113.28,108.64,108.8,101212493,0
2015-08-12,641,107.88,110.64,105.09,110.47,106071713,0
2015-08-13,570,111.24,111.58,109.8,110.38,50629240,0
2015-08-14,697,109.59,111.49,109.31,111.16,44781223,0
2015-08-17,522,111.24,112.79,110.72,112.32,42648223,0
2015-08-18,643,111.61,112.6,111.21,111.68,36051444,0
2015-08-19,553,111.3,111.7,109.93,110.25,50369291,0
2015-08-20,640,109.37,109.62,107.01,107.98,71456351,0
2015-08-21,595,105.87,107.27,101.28,101.4,133808438,0
2015-08-24,565,90.948,104.32,88.196,98.855,169159067,0
2015-08-25,618,106.51,106.51,99.213,99.45200000000001,108070357,0
2015-08-26,634,102.64,105.34,100.7,105.15,100948881,0
2015-08-27,622,107.59,108.55,105.47,108.25,88265831,0
2015-08-28,727,107.54,108.62,106.93,108.6,55457595,0
2015-08-31,709,107.4,109.79,107.37,108.09,58654593,0
2015-09-01,720,105.6,107.25,102.91,103.26,80160471,0
2015-09-02,631,105.68,107.7,104.6,107.7,64558315,0
2015-09-03,675,107.84,108.11,105.49,105.81,55530094,0
2015-09-04,693,104.47,105.89,104.03,104.74,52152843,0
2015-09-08,855,107.03,107.91,105.76,107.67,57209226,0
2015-09-09,5860,109.07,109.32,105.23,105.6,88677659,0
2015-09-10,1611,105.72,108.59,105.35,107.92,65588130,0
2015-09-11,893,107.16,109.49,107.13,109.49,52068455,0
2015-09-14,875,111.76,112.06,110.11,110.54,60880851,0
2015-09-15,867,111.15,111.71,109.69,111.47,45210576,0
2015-09-16,1026,111.44,111.72,110.66,111.59,38776840,0
2015-09-17,1013,110.88,111.67,109.03,109.22,66878079,0
2015-09-18,1059,107.57,109.57,107.24,108.76,77489421,0
2015-09-21,1297,108.98,110.59,108.97,110.44,52388174,0
2015-09-22,1096,108.69,109.46,107.87,108.71,52517731,0
2015-09-23,1104,108.94,109.97,108.61,109.59,37299049,0
2015-09-24,956,108.56,110.72,107.73,110.24,52307402,0
2015-09-25,1290,111.62,111.86,109.32,109.96,58573958,0
2015-09-28,957,109.15,109.83,107.8,107.8,54334671,0
2015-09-29,922,108.16,108.82,103.4,104.55,76529838,0
2015-09-30,961,105.62,106.93,104.25,105.74,69340249,0
2015-10-01,969,104.56,105.08,102.86,105.04,66686622,0
2015-10-02,838,103.55,106.41,103.1,105.82,60522325,0
2015-10-05,883,105.33,106.77,104.56,106.2,54302250,0
2015-10-06,817,106.06,107.11,105.22,106.71,50964296,0
2015-10-07,857,107.11,107.14,104.87,106.2,48782741,0
2015-10-08,796,105.64,105.64,103.74,104.96,64652927,0
2015-10-09,854,105.45,107.64,104.95,107.49,55008109,0
2015-10-12,1027,108.06,108.08,106.84,106.99,31773458,0
2015-10-13,915,106.24,107.81,106.11,107.16,34474745,0
2015-10-14,802,106.69,106.91,105.02,105.66,46380294,0
2015-10-15,665,106.35,107.47,105.93,107.23,39298405,0
2015-10-16,729,107.15,107.37,105.97,106.44,40924861,0
2015-10-19,833,106.22,107.12,105.56,107.1,31042788,0
2015-10-20,885,106.74,109.45,106.24,109.08,51079941,0
2015-10-21,1033,109.3,110.8,109.01,109.07,44152631,0
2015-10-22,1248,109.6,110.72,109.39,110.72,43450707,0
2015-10-23,969,111.87,114.3,111.51,114.16,61927636,0
2015-10-26,909,113.19,113.24,110.17,110.51,69194942,0
2015-10-27,829,110.62,111.72,109.29,109.81,72898797,0
2015-10-28,784,112.1,114.37,111.26,114.34,89241471,0
2015-10-29,910,113.79,115.7,113.37,115.54,53436940,0
2015-10-30,886,115.97,116.2,114.51,114.56,51494522,0
2015-11-02,347,114.92,116.34,114.67,116.16,33585292,0
2015-11-03,861,115.8,118.38,115.71,117.51,47482394,0
2015-11-04,766,118.04,118.69,116.59,116.95,46788462,0
2015-11-05,827,117.32,118.12,115.7,116.42,41082805,0
2015-11-06,750,116.6,117.28,116.12,116.56,34320534,0
2015-11-09,659,116.46,117.28,115.57,116.07,35181795,0
2015-11-10,720,112.56,113.67,111.74,112.43,61415434,0
2015-11-11,812,112.04,113.03,110.92,111.79,46967285,0
2015-11-12,822,111.93,112.48,111.34,111.41,33783843,0
2015-11-13,760,110.91,111.26,108.08,108.15,47584787,0
2015-11-16,655,107.23,109.98,106.87,109.92,39580968,0
2015-11-17,701,110.63,110.76,109.11,109.46,28685340,0
2015-11-18,664,111.45,113.1,111.19,112.91,48480343,0
2015-11-19,742,113.25,115.29,112.42,114.36,44970842,0
2015-11-20,711,114.77,115.45,114.42,114.86,35613492,0
2015-11-23,561,114.83,115.27,112.95,113.35,33739180,0
2015-11-24,561,112.95,114.91,112.77,114.45,44451376,0
2015-11-25,674,114.78,114.79,113.52,113.63,22215769,0
2015-11-27,944,113.89,114.01,113.21,113.41,13551137,0
2015-11-30,610,113.59,114.97,113.35,113.9,40696103,0
2015-12-01,649,114.33,114.38,112.52,112.95,36200728,0
2015-12-02,678,112.7,113.71,111.76,111.95,34660013,0
2015-12-03,663,112.21,112.45,109.96,110.91,43169645,0
2015-12-04,670,111.0,114.81,110.82,114.6,60012168,0
2015-12-07,591,114.55,115.4,113.41,113.88,33325471,0
2015-12-08,681,113.13,114.19,112.52,113.83,35636755,0
2015-12-09,687,113.25,113.29,110.79,111.31,48154922,0
2015-12-10,768,111.72,112.6,111.2,111.84,30342878,0
2015-12-11,712,110.9,111.1,108.64,108.97,48700025,0
2015-12-14,547,107.99,108.47,105.71,108.29,67497102,0
2015-12-15,659,107.78,108.59,106.24,106.37,55386059,0
2015-12-16,588,106.94,107.83,104.74,107.19,58414146,0
2015-12-17,636,107.85,108.06,104.91,104.91,46504966,0
2015-12-18,675,104.84,105.44,101.87,102.09,100184873,0
2015-12-21,659,103.28,103.37,101.63,103.33,49431782,0
2015-12-22,620,103.4,103.72,102.49,103.23,34053824,0
2015-12-23,561,103.27,104.78,103.2,104.56,33920744,0
2015-12-24,639,104.93,104.93,103.93,104.01,14122706,0
2015-12-28,561,103.59,103.69,102.22,102.83,27737339,0
2015-12-29,606,102.97,105.35,102.87,104.68,32127908,0
2015-12-30,600,104.53,104.64,103.18,103.32,23107102,0
2015-12-31,749,103.02,103.04,100.91,101.35,40331735,0
2016-01-04,596,98.786,101.46,98.211,101.44,65260163,0
2016-01-05,577,101.81,101.91,98.59700000000001,98.885,54763789,0
2016-01-06,581,96.816,98.55799999999999,96.149,96.949,69848688,0
2016-01-07,540,95.00299999999999,96.4,92.839,92.85700000000001,79584675,0
2016-01-08,706,94.87899999999999,95.417,93.15700000000001,93.34899999999999,72263364,0
2016-01-11,592,95.28299999999999,95.369,93.715,94.86,51663692,0
2016-01-12,528,96.806,96.94,95.15899999999999,96.238,48788856,0
2016-01-13,628,96.584,97.417,93.675,93.762,63633079,0
2016-01-14,564,94.31,96.74,92.175,95.814,64047546,0
2016-01-15,588,92.618,94.071,91.807,93.512,81347795,0
2016-01-19,494,94.745,94.977,91.943,93.059,55141551,0
2016-01-20,514,91.557,94.53200000000001,89.941,93.184,72332171,0
2016-01-21,564,93.445,94.235,91.404,92.712,48343798,0
2016-01-22,670,94.95700000000001,97.68,94.70700000000001,97.641,66786882,0
2016-02-09,71,91.27,92.868,90.92299999999999,91.948,43358326,0
2016-02-10,512,92.84899999999999,93.264,91.087,91.25200000000001,42513754,0
2016-02-11,586,90.786,91.68799999999999,89.625,90.7,47475842,0
2016-02-12,741,91.17399999999999,91.47399999999999,90.031,90.98,40597943,0
2016-02-16,685,91.977,93.749,91.579,93.545,46978971,0
2016-02-17,1109,93.575,95.065,93.07,94.979,43799633,0
2016-02-18,1032,95.675,95.72399999999999,93.01299999999999,93.177,38283311,0
2016-02-19,1040,92.926,93.66,92.73200000000001,92.965,33669312,0
2016-02-22,691,93.226,93.79799999999999,92.84899999999999,93.77799999999999,34204278,0
2016-02-23,775,93.314,93.41,91.523,91.65899999999999,30704980,0
2016-02-24,659,90.97,93.294,90.331,93.022,35993405,0
2016-02-25,797,92.975,93.66,92.20200000000001,93.66,25516566,0
2016-02-26,623,94.087,94.884,93.488,93.80799999999999,28393158,0
2016-02-29,377,93.758,95.085,93.555,93.594,31134115,0
2016-03-01,758,94.522,97.542,94.29899999999999,97.309,50578114,0
2016-03-02,674,97.289,97.661,96.449,97.522,33443244,0
2016-03-03,705,97.35700000000001,98.459,97.23200000000001,98.26,35928675,0
2016-03-04,884,99.09299999999999,100.42,98.132,99.73,45219857,0
2016-03-07,710,99.113,99.54,97.729,98.60700000000001,33651382,0
2016-03-08,586,97.552,98.508,97.18299999999999,97.79700000000001,31433660,0
2016-03-09,620,98.072,98.338,97.055,97.885,25017401,0
2016-03-10,643,98.171,98.964,96.94,97.935,34622277,0
2016-03-11,699,98.964,99.00399999999999,98.26,98.984,26173003,0
2016-03-14,653,98.646,99.62,98.51799999999999,99.23299999999999,25905632,0
2016-03-15,610,100.63,101.81,100.52,101.24,41393259,0
2016-03-16,668,101.27,102.9,101.25,102.57,39570655,0
2016-03-17,663,102.14,103.06,101.59,102.41,35559413,0
2016-03-18,700,102.93,103.09,101.82,102.53,45667572,0
2016-03-21,2101,102.54,104.21,101.77,102.52,36677182,0
2016-03-22,948,101.88,103.86,101.84,103.3,33517703,0
2016-03-23,870,103.07,103.65,102.51,102.73,26553819,0
2016-03-24,697,102.1,102.84,101.53,102.28,26997489,0
2016-03-28,858,102.6,102.78,101.69,101.82,18989484,0
2016-03-29,962,101.53,104.34,101.53,104.24,30594055,0
2016-03-30,791,105.17,106.89,105.12,106.05,45807935,0
2016-03-31,852,106.21,106.38,105.39,105.5,24742478,0
2016-04-01,1270,105.3,106.47,104.73,106.46,25945411,0
2016-04-04,641,106.89,108.59,106.74,107.56,35942137,0
2016-04-05,732,106.01,107.18,105.92,106.3,25609378,0
2016-04-06,700,106.7,107.43,105.71,107.41,25984596,0
